Transaction_ID,Date,Customer_ID,Product_ID,Product_Category,Quantity,Price_per_Unit,Payment_Method,Store_Location,Total_Amount
T048,2024-08-29,C186,P048,Groceries,4,136.39,Cash,Chicago,545.56
T049,2024-08-19,C994,P004,Toys,9,803.0,Mobile Payment,Chicago,7227.0
T050,2024-08-10,C620,P007,Furniture,3,718.65,Debit Card,Chicago,2155.95
T051,2024-08-21,C570,P036,Groceries,1,205.36,Cash,Los Angeles,205.36
T052,2024-08-04,C638,P048,Toys,10,669.11,Cash,New York,6691.1
T053,2024-08-15,C481,P036,Groceries,2,498.44,Mobile Payment,Miami,996.88
T054,2024-08-15,C366,P032,Toys,3,247.99,Debit Card,Houston,743.97
T055,2024-08-08,C680,P012,Furniture,3,591.87,Mobile Payment,New York,1775.6100000000001
T056,2024-08-20,C201,P050,Clothing,10,192.47,Debit Card,Chicago,1924.7
T057,2024-08-09,C177,P037,Clothing,7,929.76,Mobile Payment,Houston,6508.32
T058,2024-08-01,C968,P014,Clothing,10,200.06,Credit Card,Chicago,2000.6
T059,2024-08-05,C269,P022,Groceries,10,158.44,Credit Card,Miami,1584.4
T060,2024-08-23,C773,P036,Furniture,6,178.57,Cash,Houston,1071.42
T061,2024-08-24,C214,P002,Groceries,9,474.81,Credit Card,Miami,4273.29
T062,2024-08-23,C290,P037,Toys,4,262.46,Mobile Payment,Chicago,1049.84
T063,2024-08-27,C688,P018,Electronics,3,280.4,Cash,Houston,841.1999999999999
T064,2024-08-06,C913,P012,Groceries,4,994.21,Credit Card,Miami,3976.84
T065,2024-07-31,C704,P042,Clothing,10,725.84,Cash,Houston,7258.400000000001
T066,2024-08-29,C702,P027,Toys,10,568.85,Mobile Payment,Los Angeles,5688.5
T067,2024-08-14,C584,P021,Furniture,9,689.39,Cash,Miami,6204.51
T068,2024-08-11,C740,P029,Electronics,6,701.16,Credit Card,Chicago,4206.96
T069,2024-08-24,C375,P039,Groceries,10,242.55,Debit Card,Chicago,2425.5
T070,2024-08-20,C163,P029,Toys,4,95.45,Debit Card,Chicago,381.8
T071,2024-08-04,C950,P037,Toys,3,706.6,Mobile Payment,Houston,2119.8
T072,2024-08-27,C426,P006,Groceries,7,319.48,Mobile Payment,Los Angeles,2236.36
T073,2024-08-01,C974,P044,Electronics,2,336.59,Cash,Houston,673.18
T074,2024-08-15,C891,P035,Furniture,8,758.92,Debit Card,Los Angeles,6071.36
T075,2024-08-24,C597,P016,Furniture,5,31.09,Debit Card,Los Angeles,155.45
T076,2024-08-20,C786,P004,Furniture,8,182.29,Mobile Payment,Los Angeles,1458.32
T077,2024-08-04,C145,P037,Groceries,10,740.76,Credit Card,Los Angeles,7407.6
T078,2024-08-05,C905,P040,Groceries,3,584.31,Debit Card,Houston,1752.9299999999998
T079,2024-08-19,C180,P027,Toys,1,831.4,Mobile Payment,Los Angeles,831.4
T080,2024-08-29,C137,P044,Toys,4,627.41,Cash,New York,2509.64
T081,2024-08-14,C480,P047,Furniture,6,829.42,Debit Card,Miami,4976.5199999999995
T082,2024-08-18,C717,P027,Furniture,1,768.06,Cash,Miami,768.06
T083,2024-08-19,C120,P041,Toys,3,700.82,Mobile Payment,Houston,2102.46
T084,2024-08-11,C930,P042,Clothing,5,466.45,Debit Card,Los Angeles,2332.25
T085,2024-08-14,C104,P025,Furniture,6,398.19,Cash,Miami,2389.14
T086,2024-08-06,C276,P048,Clothing,1,120.84,Mobile Payment,Los Angeles,120.84
T087,2024-08-13,C503,P012,Electronics,2,168.07,Cash,Chicago,336.14
T088,2024-08-27,C785,P014,Groceries,1,8.43,Credit Card,Chicago,8.43
T089,2024-08-16,C743,P042,Electronics,6,608.26,Credit Card,Los Angeles,3649.56
T090,2024-08-10,C868,P024,Toys,9,235.31,Credit Card,Miami,2117.79
T091,2024-08-24,C439,P016,Toys,5,881.17,Debit Card,Houston,4405.849999999999
T092,2024-08-05,C996,P014,Clothing,4,456.86,Mobile Payment,Los Angeles,1827.44
T093,2024-08-18,C939,P035,Furniture,6,131.02,Mobile Payment,New York,786.1200000000001
T094,2024-08-02,C914,P038,Groceries,5,558.3,Cash,Los Angeles,2791.5
T095,2024-08-13,C326,P046,Groceries,2,878.96,Mobile Payment,Houston,1757.92
T096,2024-08-04,C492,P018,Toys,8,630.32,Cash,Los Angeles,5042.56
T097,2024-08-13,C111,P041,Toys,10,101.13,Debit Card,Houston,1011.3
T098,2024-08-04,C336,P015,Clothing,9,453.38,Credit Card,New York,4080.42
T099,2024-08-01,C157,P033,Toys,6,43.78,Credit Card,Los Angeles,262.68
T100,2024-08-13,C452,P038,Groceries,8,246.51,Debit Card,Miami,1972.08
